slice_axis,method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std
axial,lanczos,9,0.5800393223762512,0.011976843699812889,18.418420791625977,0.15019619464874268,0.014401831664144993,0.0004987104330211878,0.07485420256853104,0.0015570438699796796,0.11998967081308365,0.00207624863833189,0.11998967081308365,0.00207624863833189,0.9188314080238342,0.00546110887080431,0.36124110221862793,0.016048407182097435,0.4642772078514099,0.004809550475329161,7.485419273376465,0.1557043492794037
axial,bicubic,9,0.5758341550827026,0.011453480459749699,18.34176254272461,0.14263808727264404,0.014657444320619106,0.00048225713544525206,0.07547838240861893,0.001496016513556242,0.12105157971382141,0.001989697804674506,0.12105157971382141,0.001989697804674506,0.9172003865242004,0.005418017972260714,0.3677698075771332,0.01585438847541809,0.4880809187889099,0.004083544947206974,7.54783821105957,0.14960163831710815
coronal,lanczos,9,0.5655522346496582,0.0027472428046166897,18.81273651123047,0.10325952619314194,0.01314770057797432,0.0003157767641823739,0.07149834930896759,0.0008446555002592504,0.11465522646903992,0.0013699030969291925,0.11465522646903992,0.0013699030969291925,0.9246006011962891,0.003378684865310788,0.31910037994384766,0.008684996515512466,0.46353423595428467,0.005415044724941254,7.149834632873535,0.08446560055017471
coronal,bicubic,9,0.5603967308998108,0.002569642150774598,18.72920036315918,0.09867187589406967,0.013402711600065231,0.00030738901114091277,0.07220959663391113,0.0008138520643115044,0.11576253920793533,0.0013212321791797876,0.11576253920793533,0.0013212321791797876,0.9229776859283447,0.003436189843341708,0.3250717520713806,0.008780677802860737,0.4899776875972748,0.0046120742335915565,7.220959186553955,0.08138531446456909
axial,nearest,9,0.5375252962112427,0.010142801329493523,17.611427307128906,0.11749158054590225,0.017338698729872704,0.000470359023893252,0.08146315813064575,0.0014245507773011923,0.1316644251346588,0.0017834467580541968,0.1316644251346588,0.0017834467580541968,0.9005564451217651,0.0058962455950677395,0.42464426159858704,0.017118429765105247,0.5189157128334045,0.004192778374999762,8.146316528320312,0.1424550712108612
axial,bilinear,9,0.5335390567779541,0.009576976299285889,17.823034286499023,0.11567315459251404,0.016513949260115623,0.00044067224371246994,0.08204664289951324,0.0012908586068078876,0.1284952014684677,0.0017128395847976208,0.1284952014684677,0.0017128395847976208,0.9071239829063416,0.005523043219000101,0.4199615716934204,0.0159784946590662,0.5879530310630798,0.00297889718785882,8.20466423034668,0.12908591330051422
coronal,bilinear,9,0.5251315236091614,0.002613306976854801,18.2502498626709,0.09729275107383728,0.014965280890464783,0.0003384355513844639,0.07758943736553192,0.0008752982248552144,0.12232491374015808,0.0013766345800831914,0.12232491374015808,0.0013766345800831914,0.9142389297485352,0.0038344301283359528,0.36880216002464294,0.009849540889263153,0.5898483395576477,0.0034224698320031166,7.758944034576416,0.08752971887588501
coronal,nearest,9,0.5251024961471558,0.0020152225624769926,18.032588958740234,0.09884051978588104,0.01573455147445202,0.0003624464734457433,0.07786431163549423,0.0009116574074141681,0.12542922794818878,0.0014359387569129467,0.12542922794818878,0.0014359387569129467,0.9084413051605225,0.003709529060870409,0.37980327010154724,0.009178454987704754,0.5239526033401489,0.004157994873821735,7.786431312561035,0.09116578847169876
sagittal,lanczos,9,0.48461785912513733,0.021018091589212418,17.293521881103516,0.11159299314022064,0.018654806539416313,0.00047631896450184286,0.08961813896894455,0.0015984138008207083,0.13657139241695404,0.0017490879399701953,0.13657139241695404,0.0017490879399701953,0.8777722716331482,0.018914679065346718,0.49094533920288086,0.018116949126124382,0.5132169723510742,0.012823737226426601,8.961813926696777,0.15984132885932922
sagittal,bicubic,9,0.4791145920753479,0.020083792507648468,17.22571563720703,0.10131902247667313,0.01894724741578102,0.00043929831008426845,0.09027669578790665,0.001433840487152338,0.13763970136642456,0.0016005653887987137,0.13763970136642456,0.0016005653887987137,0.8756335973739624,0.01893926039338112,0.49915578961372375,0.017960885539650917,0.5376736521720886,0.011136488988995552,9.027668952941895,0.14338406920433044
sagittal,nearest,9,0.453544944524765,0.014751064591109753,16.750749588012695,0.05791999027132988,0.02113313227891922,0.00028182967798784375,0.09456876665353775,0.0007318911957554519,0.14536914229393005,0.0009693496394902468,0.14536914229393005,0.0009693496394902468,0.859549343585968,0.01995304971933365,0.5399470925331116,0.012781097553670406,0.5615463852882385,0.00881109293550253,9.456876754760742,0.07318896800279617
sagittal,bilinear,9,0.43852153420448303,0.017253808677196503,16.83245277404785,0.06985066086053848,0.020740101113915443,0.00033317969064228237,0.096093088388443,0.0009727593860588968,0.14400959014892578,0.0011574120726436377,0.14400959014892578,0.0011574120726436377,0.8641562461853027,0.019642625004053116,0.5574784874916077,0.017549436539411545,0.632351279258728,0.0075280736200511456,9.609309196472168,0.09727597236633301
