method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std
lanczos,9,0.48461785912513733,0.021018091589212418,17.293521881103516,0.11159299314022064,0.018654806539416313,0.00047631896450184286,0.08961813896894455,0.0015984138008207083,0.13657139241695404,0.0017490879399701953,0.13657139241695404,0.0017490879399701953,0.8777722716331482,0.018914679065346718,0.49094533920288086,0.018116949126124382,0.5132169723510742,0.012823737226426601,8.961813926696777,0.15984132885932922
bicubic,9,0.4791145920753479,0.020083792507648468,17.22571563720703,0.10131902247667313,0.01894724741578102,0.00043929831008426845,0.09027669578790665,0.001433840487152338,0.13763970136642456,0.0016005653887987137,0.13763970136642456,0.0016005653887987137,0.8756335973739624,0.01893926039338112,0.49915578961372375,0.017960885539650917,0.5376736521720886,0.011136488988995552,9.027668952941895,0.14338406920433044
nearest,9,0.453544944524765,0.014751064591109753,16.750749588012695,0.05791999027132988,0.02113313227891922,0.00028182967798784375,0.09456876665353775,0.0007318911957554519,0.14536914229393005,0.0009693496394902468,0.14536914229393005,0.0009693496394902468,0.859549343585968,0.01995304971933365,0.5399470925331116,0.012781097553670406,0.5615463852882385,0.00881109293550253,9.456876754760742,0.07318896800279617
bilinear,9,0.43852153420448303,0.017253808677196503,16.83245277404785,0.06985066086053848,0.020740101113915443,0.00033317969064228237,0.096093088388443,0.0009727593860588968,0.14400959014892578,0.0011574120726436377,0.14400959014892578,0.0011574120726436377,0.8641562461853027,0.019642625004053116,0.5574784874916077,0.017549436539411545,0.632351279258728,0.0075280736200511456,9.609309196472168,0.09727597236633301
