slice_axis,slice_index,method,ssim,psnr,mse,mae,rmse,nrmse,pearson,gradient_mse,hfen,diff_percent,issm
sagittal,114,nearest,0.43907374143600464,16.786529265877373,0.020957866683602333,0.09401936829090118,0.1447683207183199,0.1447683207183199,0.8437102113225465,0.5388901233673096,0.5672637224197388,9.401936829090118,
sagittal,114,bilinear,0.4236143231391907,16.870422449675303,0.02055690623819828,0.09566561132669449,0.14337679811670465,0.14337679811670465,0.8491219846420677,0.5594373345375061,0.6357936859130859,9.566561132669449,
sagittal,114,bicubic,0.4614143371582031,17.231308899019417,0.018917733803391457,0.09042459726333618,0.13754175294575627,0.13754175294575627,0.8609661788439055,0.5028391480445862,0.543935239315033,9.042459726333618,
sagittal,114,lanczos,0.4665057063102722,17.290565946463346,0.018661364912986755,0.0898977592587471,0.13660660640315592,0.13660660640315592,0.8631624353343315,0.4958299398422241,0.5212871432304382,8.98977592587471,
sagittal,115,nearest,0.43592384457588196,16.677694906088565,0.021489707753062248,0.09544160217046738,0.1465936825141597,0.1465936825141597,0.8339575868328596,0.5536341071128845,0.5693948864936829,9.544160217046738,
sagittal,115,bilinear,0.4214160442352295,16.76470018087771,0.02106347307562828,0.09726672619581223,0.14513260514311827,0.14513260514311827,0.840043828774135,0.5732603669166565,0.6373499035835266,9.726672619581223,
sagittal,115,bicubic,0.45791494846343994,17.12046045426113,0.019406801089644432,0.09199484437704086,0.13930829512144793,0.13930829512144793,0.8523754978369371,0.5159021615982056,0.5471996665000916,9.199484437704086,
sagittal,115,lanczos,0.46267974376678467,17.18047891815771,0.019140448421239853,0.09150820970535278,0.13834900946967366,0.13834900946967366,0.8547555289692698,0.5080923438072205,0.5247427821159363,9.150820970535278,
sagittal,116,nearest,0.4395659863948822,16.676524743685487,0.021495498716831207,0.09524432569742203,0.146613432934473,0.146613432934473,0.8379522309460374,0.5503605008125305,0.5704753398895264,9.524432569742203,
sagittal,116,bilinear,0.42190200090408325,16.738250913345652,0.021192144602537155,0.09728153795003891,0.14557521974064527,0.14557521974064527,0.8427724198902037,0.5756922960281372,0.6402479410171509,9.728153795003891,
sagittal,116,bicubic,0.45945262908935547,17.103436703392404,0.019483022391796112,0.09191878139972687,0.13958159761156236,0.13958159761156236,0.8553145239789383,0.5164896249771118,0.5493138432502747,9.191878139972687,
sagittal,116,lanczos,0.4639039635658264,17.160857400162943,0.019227121025323868,0.09141265600919724,0.13866189464061088,0.13866189464061088,0.8575172684426163,0.5081105828285217,0.5269266366958618,9.141265600919724,
sagittal,117,nearest,0.4437475800514221,16.687858346379457,0.021439475938677788,0.09563662856817245,0.1464222521978056,0.1464222521978056,0.8426772725697185,0.5511980056762695,0.5637113451957703,9.563662856817245,
sagittal,117,bilinear,0.4252832531929016,16.74144437193075,0.021176567301154137,0.09747785329818726,0.1455217073194035,0.1455217073194035,0.8470311324840234,0.5763363242149353,0.6345991492271423,9.747785329818726,
sagittal,117,bicubic,0.4642942249774933,17.112294488273093,0.019443325698375702,0.09204430133104324,0.13943932622605326,0.13943932622605326,0.8594019868311933,0.5161601901054382,0.5437394380569458,9.204430133104324,
sagittal,117,lanczos,0.4679771065711975,17.1640485228644,0.0192129984498024,0.09163587540388107,0.13861096078522217,0.13861096078522217,0.8613172717642342,0.5075185894966125,0.5220437049865723,9.163587540388107,
sagittal,118,nearest,0.45051029324531555,16.80401661469182,0.020873647183179855,0.09383654594421387,0.14447715107649325,0.14447715107649325,0.8572124261816803,0.5440021753311157,0.5645517110824585,9.383654594421387,
sagittal,118,bilinear,0.43108558654785156,16.847753318328373,0.020664488896727562,0.09555656462907791,0.14375148311140154,0.14375148311140154,0.8604508998641313,0.5636593103408813,0.6360223293304443,9.555656462907791,
sagittal,118,bicubic,0.47130095958709717,17.21157396540783,0.019003894180059433,0.09015917032957077,0.13785461247292174,0.13785461247292174,0.8716010778837978,0.5072183609008789,0.5431202054023743,9.015917032957077,
sagittal,118,lanczos,0.4764561057090759,17.269159266174317,0.018753575161099434,0.08958855271339417,0.13694369339659068,0.13694369339659068,0.8735206642347804,0.499405175447464,0.519262969493866,8.958855271339417,
sagittal,119,nearest,0.4579387605190277,16.77928232265716,0.020992867648601532,0.09399988502264023,0.14488915642173342,0.14488915642173342,0.8692250946485203,0.5412328243255615,0.5644710659980774,9.399988502264023,
sagittal,119,bilinear,0.44225913286209106,16.853611584048714,0.020636633038520813,0.0954318419098854,0.1436545614956964,0.1436545614956964,0.8731332989807419,0.556154191493988,0.6355941891670227,9.54318419098854,
sagittal,119,bicubic,0.48359814286231995,17.245667294991016,0.018855292350053787,0.08965180069208145,0.1373145744269478,0.1373145744269478,0.8840314813978647,0.49954307079315186,0.5401881337165833,8.965180069208145,
sagittal,119,lanczos,0.4896392524242401,17.32082760692822,0.018531784415245056,0.08890287578105927,0.13613149677883166,0.13613149677883166,0.8862649145927963,0.49179786443710327,0.5138491988182068,8.890287578105927,
sagittal,120,nearest,0.4636770486831665,16.7218825467282,0.021272167563438416,0.09507794678211212,0.14584981166747668,0.14584981166747668,0.8773247626491197,0.5435454249382019,0.5617166757583618,9.507794678211212,
sagittal,120,bilinear,0.4499362111091614,16.82235645450313,0.020785685628652573,0.096244215965271,0.14417241632383282,0.14417241632383282,0.8817546892414976,0.5561798214912415,0.6335987448692322,9.6244215965271,
sagittal,120,bicubic,0.4941263198852539,17.243510699954427,0.01886465772986412,0.08990419656038284,0.13734867210812093,0.13734867210812093,0.8926468424251025,0.49692201614379883,0.5346969962120056,8.990419656038284,
sagittal,120,lanczos,0.501436710357666,17.326619193006223,0.018507087603211403,0.08898980170488358,0.136040757139952,0.136040757139952,0.8949161037176634,0.4875568151473999,0.5072402954101562,8.898980170488358,
sagittal,121,nearest,0.4717850685119629,16.777914200319763,0.02099948190152645,0.09426963329315186,0.14491197984130383,0.14491197984130383,0.8846588086407977,0.524698793888092,0.5499948859214783,9.426963329315186,
sagittal,121,bilinear,0.4607475697994232,16.89398356379732,0.0204456839710474,0.09534118324518204,0.1429884050230906,0.1429884050230906,0.8893373173186322,0.5348666310310364,0.6223369836807251,9.534118324518204,
sagittal,121,bicubic,0.5049002170562744,17.337139263528297,0.01846231147646904,0.08870071917772293,0.13587608868549697,0.13587608868549697,0.8999526413544174,0.4753734767436981,0.522230327129364,8.870071917772293,
sagittal,121,lanczos,0.5112231969833374,17.41993527746734,0.018113670870661736,0.08782600611448288,0.13458703827137938,0.13458703827137938,0.9020589804110373,0.46642300486564636,0.495415061712265,8.782600611448288,
sagittal,122,nearest,0.4796820878982544,16.84502685758303,0.020677465945482254,0.09359302371740341,0.14379661312243155,0.14379661312243155,0.8892254238896304,0.5119617581367493,0.5423378944396973,9.359302371740341,
sagittal,122,bilinear,0.47044968605041504,16.959548798970314,0.020139334723353386,0.0945722684264183,0.14191312385876573,0.14191312385876573,0.8937604805777953,0.5217204093933105,0.6156191229820251,9.45722684264183,
sagittal,122,bicubic,0.51502925157547,17.426050256959115,0.01808818429708481,0.08769182860851288,0.13449232058777486,0.13449232058777486,0.9044122244542567,0.46195393800735474,0.5146387219429016,8.769182860851288,
sagittal,122,lanczos,0.5217390656471252,17.509188602467955,0.017745209857821465,0.08680154383182526,0.1332111476484662,0.1332111476484662,0.9064372108202564,0.45377418398857117,0.48818472027778625,8.680154383182526,
