slice_axis,slice_index,method,ssim,psnr,mse,mae,rmse,nrmse,pearson,gradient_mse,hfen,diff_percent,issm
coronal,113,nearest,0.6523796916007996,20.069270791553283,0.00984176341444254,0.061369266360998154,0.09920566220958629,0.09920566220958629,0.9504906496892633,0.14830009639263153,0.18107540905475616,6.136926636099815,
coronal,113,bilinear,0.6410464644432068,20.053799829959594,0.009876885451376438,0.06212539225816727,0.09938252085440598,0.09938252085440598,0.9509498556745386,0.21210026741027832,0.24548642337322235,6.212539225816727,
coronal,113,bicubic,0.6684601306915283,20.58694577644581,0.008735855109989643,0.05800137668848038,0.09346579647116715,0.09346579647116715,0.9563173266568485,0.15028302371501923,0.1592138707637787,5.800137668848038,
coronal,113,lanczos,0.6673285961151123,20.61567422818954,0.008678258396685123,0.05799834057688713,0.0931571703986608,0.0931571703986608,0.9566394273709927,0.14249323308467865,0.1573888212442398,5.799834057688713,
coronal,114,nearest,0.6552038192749023,20.125342481925024,0.009715513326227665,0.061005692929029465,0.09856730353533906,0.09856730353533906,0.9512983100614254,0.14818134903907776,0.18147900700569153,6.1005692929029465,
coronal,114,bilinear,0.64528489112854,20.110046263542344,0.009749792516231537,0.0617397241294384,0.09874103765016619,0.09874103765016619,0.9517767250729816,0.21159933507442474,0.2460550218820572,6.17397241294384,
coronal,114,bicubic,0.6729862689971924,20.660275200170794,0.008589590899646282,0.05750010535120964,0.09268004585479164,0.09268004585479164,0.9572082386098939,0.15033529698848724,0.15872202813625336,5.750010535120964,
coronal,114,lanczos,0.6716761589050293,20.67379452019377,0.008562893606722355,0.057565320283174515,0.09253590441943255,0.09253590441943255,0.957368633730578,0.14332951605319977,0.157678484916687,5.7565320283174515,
coronal,115,nearest,0.653934895992279,20.171378243989903,0.00961307156831026,0.060743141919374466,0.09804627258754033,0.09804627258754033,0.9518181651785428,0.146028071641922,0.18344971537590027,6.074314191937447,
coronal,115,bilinear,0.6448118686676025,20.1734643937776,0.009608455002307892,0.061389319598674774,0.09802272696833063,0.09802272696833063,0.9524724953456445,0.20816929638385773,0.24816758930683136,6.138931959867477,
coronal,115,bicubic,0.6716825366020203,20.726669218829265,0.008459273725748062,0.05723856762051582,0.09197431014010414,0.09197431014010414,0.9578625472671187,0.14749759435653687,0.16038435697555542,5.723856762051582,
coronal,115,lanczos,0.6701289415359497,20.749657526299877,0.0084146149456501,0.057306475937366486,0.09173121031388445,0.09173121031388445,0.9581169655630389,0.1407071202993393,0.1591929942369461,5.730647593736649,
coronal,116,nearest,0.6584708094596863,20.25336300140548,0.009433301165699959,0.0603012852370739,0.09712518296353402,0.09712518296353402,0.952274299175552,0.1440652757883072,0.18037137389183044,6.03012852370739,
coronal,116,bilinear,0.648252546787262,20.23395373488459,0.009475554339587688,0.06123768910765648,0.09734245907921008,0.09734245907921008,0.9527070768385932,0.20514453947544098,0.24597598612308502,6.123768910765648,
coronal,116,bicubic,0.6756151914596558,20.802248881340798,0.008313331753015518,0.056982725858688354,0.09117747393416599,0.09117747393416599,0.9582023708443481,0.1435958594083786,0.15790171921253204,5.6982725858688354,
coronal,116,lanczos,0.6743983030319214,20.83668637240395,0.008247671648859978,0.05695304647088051,0.0908166925672807,0.0908166925672807,0.9585690133364129,0.13628636300563812,0.15608568489551544,5.695304647088051,
coronal,117,nearest,0.6557543873786926,20.24616783335754,0.009448942728340626,0.060406506061553955,0.09720567230537848,0.09720567230537848,0.9521627966740971,0.14383386075496674,0.18158331513404846,6.0406506061553955,
coronal,117,bilinear,0.6452646255493164,20.222317491603388,0.009500976651906967,0.06126999482512474,0.09747295343789972,0.09747295343789972,0.9525709012093769,0.20658992230892181,0.24749648571014404,6.126999482512474,
coronal,117,bicubic,0.6734184622764587,20.8067321328464,0.00830475427210331,0.05690084025263786,0.09113042451400799,0.09113042451400799,0.9582278019025822,0.14393463730812073,0.1579110026359558,5.690084025263786,
coronal,117,lanczos,0.6724372506141663,20.837653554720347,0.008245835080742836,0.05685571953654289,0.09080658060263494,0.09080658060263494,0.9585602037757136,0.1365429162979126,0.15686246752738953,5.685571953654289,
coronal,118,nearest,0.6571043133735657,20.23198168826596,0.009479857981204987,0.060598328709602356,0.09736456224522856,0.09736456224522856,0.9512916984730201,0.14445042610168457,0.18225418031215668,6.059832870960236,
coronal,118,bilinear,0.646159827709198,20.22460076101548,0.009495982900261879,0.06133991852402687,0.0974473339823203,0.0974473339823203,0.9518705011411108,0.20518721640110016,0.2471085488796234,6.133991852402687,
coronal,118,bicubic,0.6739049553871155,20.796571872971366,0.008324205875396729,0.057069096714258194,0.09123708607466992,0.09123708607466992,0.9575014886176881,0.14379602670669556,0.1590777039527893,5.706909671425819,
coronal,118,lanczos,0.6728178262710571,20.833324980516007,0.008254057727754116,0.05704834684729576,0.09085184493313339,0.09085184493313339,0.9578997836207583,0.1362137347459793,0.15825755894184113,5.704834684729576,
coronal,119,nearest,0.6579782962799072,20.22957598851271,0.009485110640525818,0.06062263250350952,0.097391532694202,0.097391532694202,0.9513867947270002,0.14478331804275513,0.17924542725086212,6.062263250350952,
coronal,119,bilinear,0.6455552577972412,20.16226598927141,0.009633262641727924,0.061846889555454254,0.09814918563965737,0.09814918563965737,0.9512906734522442,0.21029895544052124,0.24430443346500397,6.184688955545425,
coronal,119,bicubic,0.6732934713363647,20.730846309746727,0.00845114141702652,0.0575837567448616,0.09193008983475714,0.09193008983475714,0.9569441335318454,0.14721187949180603,0.1568702608346939,5.75837567448616,
coronal,119,lanczos,0.672161340713501,20.7631599444867,0.00838849414139986,0.05755824223160744,0.09158872278506705,0.09158872278506705,0.9572988298134931,0.13974811136722565,0.15554450452327728,5.755824223160744,
coronal,120,nearest,0.6549468636512756,20.11803486824007,0.00973187480121851,0.06111067160964012,0.09865026508438034,0.09865026508438034,0.950224630791922,0.1513214260339737,0.1831144243478775,6.111067160964012,
coronal,120,bilinear,0.6433714032173157,20.07723614040667,0.009823729284107685,0.062400948256254196,0.09911472788696786,0.09911472788696786,0.9504793521844025,0.2171991914510727,0.2504003942012787,6.24009482562542,
coronal,120,bicubic,0.6716034412384033,20.66054125657178,0.008589064702391624,0.057913247495889664,0.09267720702735718,0.09267720702735718,0.9563714765388139,0.15196019411087036,0.1600327491760254,5.791324749588966,
coronal,120,lanczos,0.6704105734825134,20.69538916750114,0.00852042157202959,0.05787179246544838,0.09230612965577958,0.09230612965577958,0.9567554036067853,0.14359569549560547,0.15806026756763458,5.787179246544838,
coronal,121,nearest,0.6558764576911926,20.186441034363042,0.009579787962138653,0.06086590513586998,0.09787639123986261,0.09787639123986261,0.9513484964854408,0.1474386304616928,0.1828920543193817,6.086590513586998,
coronal,121,bilinear,0.6441859602928162,20.13647851599125,0.009690633043646812,0.06188781559467316,0.09844101301615507,0.09844101301615507,0.9514377117887404,0.21148142218589783,0.24911968410015106,6.188781559467316,
coronal,121,bicubic,0.6720666885375977,20.704806114236924,0.00850196648389101,0.057613372802734375,0.09220610871244383,0.09220610871244383,0.9570889798699143,0.1478198617696762,0.16048173606395721,5.7613372802734375,
