method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std
bicubic,31,0.6838058233261108,0.014940801076591015,20.769779205322266,0.3922043740749359,0.00841008871793747,0.0007641151896677911,0.05631978064775467,0.0030519203282892704,0.09161254018545151,0.00415118457749486,0.09161254018545151,0.00415118457749486,0.9546719789505005,0.005898670293390751,0.1516989767551422,0.013372436165809631,0.1532307267189026,0.00431418651714921,5.6319780349731445,0.30519208312034607
lanczos,31,0.6816866993904114,0.014346633106470108,20.81228256225586,0.39036452770233154,0.008327862247824669,0.000753275933675468,0.05628154054284096,0.0029979590326547623,0.09116442501544952,0.004112000111490488,0.09116442501544952,0.004112000111490488,0.955172598361969,0.005814507603645325,0.14361552894115448,0.011936786584556103,0.1518096923828125,0.0037009159568697214,5.6281538009643555,0.299795925617218
nearest,31,0.6634533405303955,0.011213324032723904,20.189237594604492,0.32384082674980164,0.009600277990102768,0.0007159584201872349,0.05995703488588333,0.0026769908145070076,0.09791293740272522,0.0036517020780593157,0.09791293740272522,0.0036517020780593157,0.9478797912597656,0.006039167754352093,0.15081411600112915,0.011261243373155594,0.17583544552326202,0.004194455686956644,5.995703220367432,0.26769912242889404
bilinear,31,0.6556313633918762,0.017080334946513176,20.17097282409668,0.3864881098270416,0.009652205742895603,0.0008620540029369295,0.06101148575544357,0.003252043854445219,0.09814810007810593,0.004376966040581465,0.09814810007810593,0.004376966040581465,0.9484362602233887,0.006703988648951054,0.21438245475292206,0.020662931725382805,0.2409529834985733,0.005786791909486055,6.1011481285095215,0.32520437240600586
