method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std
lanczos,9,0.5800393223762512,0.011976843699812889,18.418420791625977,0.15019619464874268,0.014401831664144993,0.0004987104330211878,0.07485420256853104,0.0015570438699796796,0.11998967081308365,0.00207624863833189,0.11998967081308365,0.00207624863833189,0.9188314080238342,0.00546110887080431,0.36124110221862793,0.016048407182097435,0.4642772078514099,0.004809550475329161,7.485419273376465,0.1557043492794037
bicubic,9,0.5758341550827026,0.011453480459749699,18.34176254272461,0.14263808727264404,0.014657444320619106,0.00048225713544525206,0.07547838240861893,0.001496016513556242,0.12105157971382141,0.001989697804674506,0.12105157971382141,0.001989697804674506,0.9172003865242004,0.005418017972260714,0.3677698075771332,0.01585438847541809,0.4880809187889099,0.004083544947206974,7.54783821105957,0.14960163831710815
nearest,9,0.5375252962112427,0.010142801329493523,17.611427307128906,0.11749158054590225,0.017338698729872704,0.000470359023893252,0.08146315813064575,0.0014245507773011923,0.1316644251346588,0.0017834467580541968,0.1316644251346588,0.0017834467580541968,0.9005564451217651,0.0058962455950677395,0.42464426159858704,0.017118429765105247,0.5189157128334045,0.004192778374999762,8.146316528320312,0.1424550712108612
bilinear,9,0.5335390567779541,0.009576976299285889,17.823034286499023,0.11567315459251404,0.016513949260115623,0.00044067224371246994,0.08204664289951324,0.0012908586068078876,0.1284952014684677,0.0017128395847976208,0.1284952014684677,0.0017128395847976208,0.9071239829063416,0.005523043219000101,0.4199615716934204,0.0159784946590662,0.5879530310630798,0.00297889718785882,8.20466423034668,0.12908591330051422
