slice_axis,slice_index,method,ssim,psnr,mse,mae,rmse,nrmse,pearson,gradient_mse,hfen,diff_percent,issm
axial,124,nearest,0.5214676260948181,17.40389532455061,0.018180694431066513,0.08410140872001648,0.13483580544894785,0.13483580544894785,0.8943309759997196,0.4517405927181244,0.5197563767433167,8.410140872001648,
axial,124,bilinear,0.5197556018829346,17.62267193481075,0.017287524417042732,0.08426977694034576,0.13148203077623472,0.13148203077623472,0.9014087273836755,0.44423919916152954,0.5859174132347107,8.426977694034576,
axial,124,bicubic,0.559281051158905,18.104934769503245,0.015470577403903008,0.0779256671667099,0.12438077586147711,0.12438077586147711,0.9114326919366805,0.39236462116241455,0.486632376909256,7.79256671667099,
axial,124,lanczos,0.5642171502113342,18.17294970584116,0.015230179764330387,0.07733463495969772,0.12341061447189373,0.12341061447189373,0.9130009659827459,0.38635164499282837,0.46364307403564453,7.733463495969772,
axial,125,nearest,0.5238063335418701,17.485697409368278,0.017841454595327377,0.08308649808168411,0.1335719079572025,0.1335719079572025,0.8929090417502659,0.44620561599731445,0.5228093266487122,8.308649808168411,
axial,125,bilinear,0.5215481519699097,17.69765952187143,0.016991591081023216,0.08342112600803375,0.13035179738317082,0.13035179738317082,0.8999374795355172,0.437838077545166,0.5890342593193054,8.342112600803375,
axial,125,bicubic,0.5618908405303955,18.182485374696913,0.015196776017546654,0.07713037729263306,0.12327520439060993,0.12327520439060993,0.9101760122990573,0.3859952688217163,0.4897916615009308,7.713037729263306,
axial,125,lanczos,0.5663787722587585,18.252287819777802,0.014954476617276669,0.07651194930076599,0.12228849748556349,0.12228849748556349,0.911803651519995,0.3796405494213104,0.4665255546569824,7.651194930076599,
axial,126,nearest,0.5306892395019531,17.544577358253118,0.017601199448108673,0.08220457285642624,0.1326695121273485,0.1326695121273485,0.8941107293900735,0.4352034628391266,0.5185363292694092,8.220457285642624,
axial,126,bilinear,0.5258512496948242,17.753838421549194,0.01677320897579193,0.08281394094228745,0.12951142411305627,0.12951142411305627,0.9010116857878756,0.4315066635608673,0.5871684551239014,8.281394094228745,
axial,126,bicubic,0.5661227703094482,18.23985201882135,0.014997359365224838,0.07650724798440933,0.12246370631834086,0.12246370631834086,0.9111490594005931,0.3796860873699188,0.48727837204933167,7.650724798440933,
