method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std,isnr_mean,isnr_std,issm_mean,issm_std,degradation_time_ms_mean,degradation_time_ms_std,upscaling_time_ms_mean,upscaling_time_ms_std,metrics_time_ms_mean,metrics_time_ms_std,total_method_time_ms_mean,total_method_time_ms_std
lanczos,31,0.6315716505050659,0.015162796713411808,19.91037940979004,0.38624778389930725,0.010249018669128418,0.0009136719745583832,0.06543395668268204,0.003654192667454481,0.10113715380430222,0.004504712298512459,0.10113715380430222,0.004504712298512459,0.9414229393005371,0.013075173832476139,0.20581334829330444,0.023271676152944565,0.18842707574367523,0.007254440803080797,6.543395042419434,0.3654192388057709,0.7186426520347595,0.02806938998401165,,,0.348266065120697,0.2600128650665283,0.26714375615119934,0.035779405385255814,8.612279891967773,0.43914520740509033,8.88044548034668,0.4659808576107025
bicubic,31,0.6295152902603149,0.015985405072569847,19.822328567504883,0.3929103910923004,0.010460377670824528,0.0009486530325375497,0.06588877737522125,0.0037806425243616104,0.1021711602807045,0.004629439674317837,0.1021711602807045,0.004629439674317837,0.94002366065979,0.013521470129489899,0.2172718048095703,0.02499767579138279,0.19025523960590363,0.008526748046278954,6.588877201080322,0.37806421518325806,0.6305903792381287,0.02399543672800064,,,0.348266065120697,0.2600128650665283,0.19331195950508118,0.09128529578447342,8.677398681640625,0.7506377696990967,8.871682167053223,0.8310953378677368
nearest,31,0.6072393655776978,0.013713201507925987,19.303064346313477,0.3526059091091156,0.01177938748151064,0.0009541473118588328,0.06968653947114944,0.0034120255149900913,0.1084437221288681,0.0043985419906675816,0.1084437221288681,0.0043985419906675816,0.9318496584892273,0.014734837226569653,0.21833965182304382,0.023832246661186218,0.22253862023353577,0.008485379628837109,6.968653678894043,0.3412025570869446,0.11132527887821198,0.04851870611310005,,,0.348266065120697,0.2600128650665283,0.12396232038736343,0.015689397230744362,8.856232643127441,1.5648479461669922,8.981204986572266,1.574254035949707
bilinear,31,0.5891167521476746,0.019068604335188866,19.19173812866211,0.3933425843715668,0.012095007114112377,0.0010943497763946652,0.07154490798711777,0.004050876013934612,0.109864741563797,0.004974799696356058,0.109864741563797,0.004974799696356058,0.9309711456298828,0.015570991672575474,0.29359859228134155,0.03392260521650314,0.29545456171035767,0.010692808777093887,7.1544904708862305,0.40508756041526794,0.0,0.0,,,0.348266065120697,0.2600128650665283,0.1457405984401703,0.045130375772714615,8.893183708190918,0.9764392375946045,9.04017162322998,1.0070254802703857
