slice_axis,slice_index,method,ssim,psnr,mse,mae,rmse,nrmse,pearson,gradient_mse,hfen,diff_percent,isnr,issm,scale,isnr_baseline_method,hr_height,hr_width,lr_height,lr_width,degradation_time_ms,upscaling_time_ms,metrics_time_ms,total_method_time_ms
coronal,113,nearest,0.6523796916007996,20.069270791553283,0.00984176341444254,0.061369266360998154,0.09920566220958629,0.09920566220958629,0.9504906496892633,0.14830009639263153,0.18107540905475616,6.136926636099815,0.0154709615936878,,2,bilinear,256,236,128,118,0.25879199999945257,0.10720900000027456,7.270541000000463,7.378583000000383
coronal,113,bilinear,0.6410464644432068,20.053799829959594,0.009876885451376438,0.06212539225816727,0.09938252085440598,0.09938252085440598,0.9509498556745386,0.21210026741027832,0.24548642337322235,6.212539225816727,0.0,,2,bilinear,256,236,128,118,0.25879199999945257,0.10991699999962634,7.772958999999524,7.883792000000334
coronal,113,bicubic,0.6684601306915283,20.58694577644581,0.008735855109989643,0.05800137668848038,0.09346579647116715,0.09346579647116715,0.9563173266568485,0.15028302371501923,0.1592138707637787,5.800137668848038,0.5331459464862164,,2,bilinear,256,236,128,118,0.25879199999945257,0.149541999999947,7.335959000000614,7.486083000000754
coronal,113,lanczos,0.6673285961151123,20.61567422818954,0.008678258396685123,0.05799834057688713,0.0931571703986608,0.0931571703986608,0.9566394273709927,0.14249323308467865,0.1573888212442398,5.799834057688713,0.5618743982299469,,2,bilinear,256,236,128,118,0.25879199999945257,0.21945800000011673,7.422374999999981,7.642624999999903
coronal,114,nearest,0.6552038192749023,20.125342481925024,0.009715513326227665,0.061005692929029465,0.09856730353533906,0.09856730353533906,0.9512983100614254,0.14818134903907776,0.18147900700569153,6.1005692929029465,0.015296218382681562,,2,bilinear,256,236,128,118,0.23241700000031784,0.10708300000050741,7.023541999999772,7.1311659999997445
coronal,114,bilinear,0.64528489112854,20.110046263542344,0.009749792516231537,0.0617397241294384,0.09874103765016619,0.09874103765016619,0.9517767250729816,0.21159933507442474,0.2460550218820572,6.17397241294384,0.0,,2,bilinear,256,236,128,118,0.23241700000031784,0.10604099999955707,7.524832999999731,7.631707999999904
coronal,114,bicubic,0.6729862689971924,20.660275200170794,0.008589590899646282,0.05750010535120964,0.09268004585479164,0.09268004585479164,0.9572082386098939,0.15033529698848724,0.15872202813625336,5.750010535120964,0.5502289366284487,,2,bilinear,256,236,128,118,0.23241700000031784,0.1635840000000499,7.258167000000704,7.422250000000297
coronal,114,lanczos,0.6716761589050293,20.67379452019377,0.008562893606722355,0.057565320283174515,0.09253590441943255,0.09253590441943255,0.957368633730578,0.14332951605319977,0.157678484916687,5.7565320283174515,0.563748256651424,,2,bilinear,256,236,128,118,0.23241700000031784,0.22229200000012383,7.4864999999997295,7.709834000000804
coronal,115,nearest,0.653934895992279,20.171378243989903,0.00961307156831026,0.060743141919374466,0.09804627258754033,0.09804627258754033,0.9518181651785428,0.146028071641922,0.18344971537590027,6.074314191937447,-0.0020861497876943674,,2,bilinear,256,236,128,118,0.27308299999972974,0.11029100000037317,7.131708000000181,7.242499999999374
coronal,115,bilinear,0.6448118686676025,20.1734643937776,0.009608455002307892,0.061389319598674774,0.09802272696833063,0.09802272696833063,0.9524724953456445,0.20816929638385773,0.24816758930683136,6.138931959867477,0.0,,2,bilinear,256,236,128,118,0.27308299999972974,0.10566699999969842,7.502791999999481,7.609167000000028
coronal,115,bicubic,0.6716825366020203,20.726669218829265,0.008459273725748062,0.05723856762051582,0.09197431014010414,0.09197431014010414,0.9578625472671187,0.14749759435653687,0.16038435697555542,5.723856762051582,0.553204825051667,,2,bilinear,256,236,128,118,0.27308299999972974,0.14995799999972803,7.366082999999968,7.516708999999899
coronal,115,lanczos,0.6701289415359497,20.749657526299877,0.0084146149456501,0.057306475937366486,0.09173121031388445,0.09173121031388445,0.9581169655630389,0.1407071202993393,0.1591929942369461,5.730647593736649,0.5761931325222798,,2,bilinear,256,236,128,118,0.27308299999972974,0.2203749999996063,7.394665999999717,7.6156660000004095
coronal,116,nearest,0.6584708094596863,20.25336300140548,0.009433301165699959,0.0603012852370739,0.09712518296353402,0.09712518296353402,0.952274299175552,0.1440652757883072,0.18037137389183044,6.03012852370739,0.019409266520886218,,2,bilinear,256,236,128,118,0.24204199999999787,0.11083299999992136,7.229167000000203,7.340624999999434
coronal,116,bilinear,0.648252546787262,20.23395373488459,0.009475554339587688,0.06123768910765648,0.09734245907921008,0.09734245907921008,0.9527070768385932,0.20514453947544098,0.24597598612308502,6.123768910765648,0.0,,2,bilinear,256,236,128,118,0.24204199999999787,0.10433300000034507,7.121000000000599,7.22574999999992
coronal,116,bicubic,0.6756151914596558,20.802248881340798,0.008313331753015518,0.056982725858688354,0.09117747393416599,0.09117747393416599,0.9582023708443481,0.1435958594083786,0.15790171921253204,5.6982725858688354,0.568295146456208,,2,bilinear,256,236,128,118,0.24204199999999787,0.1463329999999985,7.29891699999996,7.445833000000235
coronal,116,lanczos,0.6743983030319214,20.83668637240395,0.008247671648859978,0.05695304647088051,0.0908166925672807,0.0908166925672807,0.9585690133364129,0.13628636300563812,0.15608568489551544,5.695304647088051,0.602732637519359,,2,bilinear,256,236,128,118,0.24204199999999787,0.21775000000001654,7.316125000000007,7.534708999999751
coronal,117,nearest,0.6557543873786926,20.24616783335754,0.009448942728340626,0.060406506061553955,0.09720567230537848,0.09720567230537848,0.9521627966740971,0.14383386075496674,0.18158331513404846,6.0406506061553955,0.023850341754150545,,2,bilinear,256,236,128,118,0.23295899999986602,0.11212499999935233,7.6075840000005,7.720749999999832
coronal,117,bilinear,0.6452646255493164,20.222317491603388,0.009500976651906967,0.06126999482512474,0.09747295343789972,0.09747295343789972,0.9525709012093769,0.20658992230892181,0.24749648571014404,6.126999482512474,0.0,,2,bilinear,256,236,128,118,0.23295899999986602,0.11462500000014586,7.268250000000087,7.383625000000116
coronal,117,bicubic,0.6734184622764587,20.8067321328464,0.00830475427210331,0.05690084025263786,0.09113042451400799,0.09113042451400799,0.9582278019025822,0.14393463730812073,0.1579110026359558,5.690084025263786,0.5844146412430109,,2,bilinear,256,236,128,118,0.23295899999986602,0.14562500000003809,7.341375000000205,7.487667000000364
coronal,117,lanczos,0.6724372506141663,20.837653554720347,0.008245835080742836,0.05685571953654289,0.09080658060263494,0.09080658060263494,0.9585602037757136,0.1365429162979126,0.15686246752738953,5.685571953654289,0.6153360631169577,,2,bilinear,256,236,128,118,0.23295899999986602,0.21591599999926103,9.017625000000251,9.234125000000759
coronal,118,nearest,0.6571043133735657,20.23198168826596,0.009479857981204987,0.060598328709602356,0.09736456224522856,0.09736456224522856,0.9512916984730201,0.14445042610168457,0.18225418031215668,6.059832870960236,0.007380927250482425,,2,bilinear,256,236,128,118,0.24166700000005648,0.10720800000019182,7.333250000000291,7.441124999999715
coronal,118,bilinear,0.646159827709198,20.22460076101548,0.009495982900261879,0.06133991852402687,0.0974473339823203,0.0974473339823203,0.9518705011411108,0.20518721640110016,0.2471085488796234,6.133991852402687,0.0,,2,bilinear,256,236,128,118,0.24166700000005648,0.12237500000011892,7.42966599999928,7.552708999999602
