method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std,isnr_mean,isnr_std,issm_mean,issm_std,degradation_time_ms_mean,degradation_time_ms_std,upscaling_time_ms_mean,upscaling_time_ms_std,metrics_time_ms_mean,metrics_time_ms_std,total_method_time_ms_mean,total_method_time_ms_std
bicubic,31,0.6701626181602478,0.003077967092394829,20.740140914916992,0.16532514989376068,0.008439149707555771,0.0003185780660714954,0.057178135961294174,0.0009606503881514072,0.09184834361076355,0.0017409534193575382,0.09184834361076355,0.0017409534193575382,0.9546604752540588,0.00253611640073359,0.14496663212776184,0.005850515328347683,0.16058479249477386,0.0021244902163743973,5.717813968658447,0.09606506675481796,0.5319995880126953,0.026415349915623665,,,0.2543737590312958,0.03843036666512489,0.1718858927488327,0.052976787090301514,8.287960052490234,1.5556869506835938,8.460941314697266,1.5626333951950073
lanczos,31,0.6685179471969604,0.003305524354800582,20.763771057128906,0.1641225665807724,0.008393281139433384,0.0003150033007841557,0.05721300467848778,0.0009459937573410571,0.09159860014915466,0.001724857953377068,0.09159860014915466,0.001724857953377068,0.9549371004104614,0.002565271919593215,0.13783596456050873,0.005455079022794962,0.15948323905467987,0.0021831102203577757,5.72130012512207,0.09459935873746872,0.5556269884109497,0.03232242166996002,,,0.2543737590312958,0.03843036666512489,0.24202679097652435,0.03248393163084984,8.067438125610352,0.8653220534324646,8.310539245605469,0.8780233860015869
nearest,31,0.6542384028434753,0.002625929657369852,20.255874633789062,0.16800640523433685,0.009434831328690052,0.0003593585279304534,0.06026822701096535,0.0010571334278210998,0.0971151813864708,0.0018639726331457496,0.0971151813864708,0.0018639726331457496,0.9490295052528381,0.0023992187343537807,0.14288702607154846,0.005916280206292868,0.1822551190853119,0.001990538788959384,6.026822090148926,0.10571331530809402,0.04773181304335594,0.027887728065252304,,,0.2543737590312958,0.03843036666512489,0.11496235430240631,0.028680933639407158,7.798121452331543,0.7098641395568848,7.914212703704834,0.7163440585136414
bilinear,31,0.6441860198974609,0.0031063801143318415,20.208141326904297,0.165114626288414,0.009538873098790646,0.00035831076093018055,0.06116857752203941,0.0010573446052148938,0.09764973074197769,0.0018451627111062407,0.09764973074197769,0.0018451627111062407,0.9491233229637146,0.0025978917255997658,0.2043798565864563,0.008422639220952988,0.245857372879982,0.002915260149165988,6.116857528686523,0.1057344600558281,0.0,0.0,,,0.2543737590312958,0.03843036666512489,0.1360214203596115,0.04423796012997627,7.921443939208984,0.861720085144043,8.059078216552734,0.8842968344688416
