slice_axis,slice_index,method,ssim,psnr,mse,mae,rmse,nrmse,pearson,gradient_mse,hfen,diff_percent,isnr,issm,scale,isnr_baseline_method,hr_height,hr_width,lr_height,lr_width,degradation_time_ms,upscaling_time_ms,metrics_time_ms,total_method_time_ms
sagittal,126,lanczos,0.66911381483078,20.511037357999868,0.008889887481927872,0.06003062054514885,0.0942861998488001,0.0942861998488001,0.9554469697268774,0.14834441244602203,0.15111374855041504,6.003062054514885,0.6633727968807492,,2,bilinear,256,256,128,128,0.27112499999937256,0.23512499999966963,7.639417000000037,7.8750830000000605
sagittal,127,nearest,0.6493515372276306,19.990264141970687,0.010022442787885666,0.06304027140140533,0.1001121510501381,0.1001121510501381,0.9490160805263756,0.15172016620635986,0.17999248206615448,6.3040271401405334,0.006753611641992628,,2,bilinear,256,256,128,128,0.2642909999996945,0.1152090000005046,7.920958999999783,8.036834000000326
sagittal,127,bilinear,0.6317770481109619,19.983510530328694,0.010038040578365326,0.06406833231449127,0.10019002234936035,0.10019002234936035,0.9497420036454526,0.22035562992095947,0.24917124211788177,6.406833231449127,0.0,,2,bilinear,256,256,128,128,0.2642909999996945,0.11687499999979423,7.689082999999819,7.8065000000000495
sagittal,127,bicubic,0.6680601239204407,20.595605056182556,0.008718454279005527,0.059072792530059814,0.09337266344602968,0.09337266344602968,0.9559912001730138,0.1519947052001953,0.1557237207889557,5.9072792530059814,0.6120945258538611,,2,bilinear,256,256,128,128,0.2642909999996945,0.15699999999974068,7.661041999999618,7.818541999999873
sagittal,127,lanczos,0.6670241951942444,20.643382718004624,0.008623066358268261,0.05906607583165169,0.09286046714435729,0.09286046714435729,0.9565225004232951,0.1427731066942215,0.1542273908853531,5.906607583165169,0.6598721876759268,,2,bilinear,256,256,128,128,0.2642909999996945,0.23450000000035942,7.729333000000338,7.964333999999518
sagittal,128,nearest,0.6435059309005737,20.0150700055706,0.009965360164642334,0.06257940083742142,0.09982665057309262,0.09982665057309262,0.9498979156235935,0.15297751128673553,0.1825726181268692,6.257940083742142,-0.022178300368266537,,2,bilinear,256,256,128,128,0.2843329999997479,0.11537500000002865,7.901540999999845,8.017375000000548
sagittal,128,bilinear,0.6274789571762085,20.03724830593886,0.009914599359035492,0.06344976276159286,0.09957208122277797,0.09957208122277797,0.9508848397793942,0.21760672330856323,0.2506716549396515,6.3449762761592865,0.0,,2,bilinear,256,256,128,128,0.2843329999997479,0.11020800000061115,7.753042000000043,7.863833000000042
sagittal,128,bicubic,0.6623319983482361,20.631450447026122,0.008646790869534016,0.058686189353466034,0.09298812219597735,0.09298812219597735,0.9568480398303659,0.15192091464996338,0.15889142453670502,5.868618935346603,0.5942021410872625,,2,bilinear,256,256,128,128,0.2843329999997479,0.1568330000001339,7.963750000000047,8.121040999999884
sagittal,128,lanczos,0.6615636944770813,20.68551515394763,0.008539815433323383,0.05857850983738899,0.09241112180535081,0.09241112180535081,0.9574313496003115,0.14235176146030426,0.15729114413261414,5.857850983738899,0.6482668480087682,,2,bilinear,256,256,128,128,0.2843329999997479,0.2311249999999987,7.889958000000696,8.121625000000243
sagittal,129,nearest,0.6470380425453186,20.06901517491184,0.00984234269708395,0.062009602785110474,0.09920858177135661,0.09920858177135661,0.9515769905880774,0.1491568237543106,0.1813012957572937,6.200960278511047,0.015445073940087668,,2,bilinear,256,256,128,128,0.25729100000049243,0.11570800000004766,7.625500000000507,7.7417499999992145
sagittal,129,bilinear,0.6285554766654968,20.053570100971754,0.009877407923340797,0.06307573616504669,0.09938514941046674,0.09938514941046674,0.9520924485133825,0.21542824804782867,0.24901540577411652,6.307573616504669,0.0,,2,bilinear,256,256,128,128,0.25729100000049243,0.117874999999934,7.901708999999535,8.020124999999823
sagittal,129,bicubic,0.6643357872962952,20.642497234595936,0.008624824695289135,0.05825795978307724,0.09286993429140097,0.09286993429140097,0.9578593007416576,0.15015320479869843,0.15841086208820343,5.825795978307724,0.5889271336241807,,2,bilinear,256,256,128,128,0.25729100000049243,0.16049999999978581,8.02208300000018,8.183499999999455
sagittal,129,lanczos,0.6640179753303528,20.690848619735355,0.00852933432906866,0.05816524475812912,0.09235439528830591,0.09235439528830591,0.9583679126631148,0.1410588175058365,0.15621434152126312,5.816524475812912,0.6372785187636011,,2,bilinear,256,256,128,128,0.25729100000049243,0.24012500000036852,7.97950000000025,8.22020900000009
sagittal,130,nearest,0.6460674405097961,20.019263086066815,0.009955743327736855,0.06224311143159866,0.09977847126377941,0.09977847126377941,0.9521153407527828,0.15092259645462036,0.18121397495269775,6.224311143159866,0.033739023456095384,,2,bilinear,256,256,128,128,0.2932090000005161,0.12316699999992409,7.88829199999963,8.01237499999985
sagittal,130,bilinear,0.6272754073143005,19.985524062610722,0.010033387690782547,0.06352505087852478,0.10016679934380726,0.10016679934380726,0.9524047354351666,0.21996855735778809,0.2505054175853729,6.352505087852478,0.0,,2,bilinear,256,256,128,128,0.2932090000005161,0.11962499999995657,8.426541000000398,8.54695800000016
sagittal,130,bicubic,0.66220623254776,20.585099733231672,0.00873956922441721,0.05876437947154045,0.09348566320253181,0.09348566320253181,0.9582464483375824,0.15193234384059906,0.1573105901479721,5.876437947154045,0.5995756706209525,,2,bilinear,256,256,128,128,0.2932090000005161,0.17449999999996635,8.163291999999878,8.3386670000003
sagittal,130,lanczos,0.6608608961105347,20.619057821486734,0.008671499788761139,0.05876564607024193,0.09312088803679408,0.09312088803679408,0.9586050326851612,0.14310769736766815,0.1558491289615631,5.876564607024193,0.6335337588760126,,2,bilinear,256,256,128,128,0.2932090000005161,0.2420000000000755,8.202625000000019,8.445333000000055
sagittal,131,nearest,0.6432635188102722,20.072981392473555,0.009833358228206635,0.06190478801727295,0.0991632907290124,0.0991632907290124,0.9530069189708219,0.14750641584396362,0.18041881918907166,6.190478801727295,0.009436586740304214,,2,bilinear,256,256,128,128,0.2507500000001883,0.11441699999981125,7.895207999999876,8.010207999999963
sagittal,131,bilinear,0.6253706216812134,20.06354480573325,0.009854747913777828,0.06292528659105301,0.09927108296869652,0.09927108296869652,0.9535784636264619,0.21300923824310303,0.24861271679401398,6.292528659105301,0.0,,2,bilinear,256,256,128,128,0.2507500000001883,0.13599999999946988,8.37333299999976,8.510165999999764
