method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std
lanczos,9,0.5655522346496582,0.0027472428046166897,18.81273651123047,0.10325952619314194,0.01314770057797432,0.0003157767641823739,0.07149834930896759,0.0008446555002592504,0.11465522646903992,0.0013699030969291925,0.11465522646903992,0.0013699030969291925,0.9246006011962891,0.003378684865310788,0.31910037994384766,0.008684996515512466,0.46353423595428467,0.005415044724941254,7.149834632873535,0.08446560055017471
bicubic,9,0.5603967308998108,0.002569642150774598,18.72920036315918,0.09867187589406967,0.013402711600065231,0.00030738901114091277,0.07220959663391113,0.0008138520643115044,0.11576253920793533,0.0013212321791797876,0.11576253920793533,0.0013212321791797876,0.9229776859283447,0.003436189843341708,0.3250717520713806,0.008780677802860737,0.4899776875972748,0.0046120742335915565,7.220959186553955,0.08138531446456909
bilinear,9,0.5251315236091614,0.002613306976854801,18.2502498626709,0.09729275107383728,0.014965280890464783,0.0003384355513844639,0.07758943736553192,0.0008752982248552144,0.12232491374015808,0.0013766345800831914,0.12232491374015808,0.0013766345800831914,0.9142389297485352,0.0038344301283359528,0.36880216002464294,0.009849540889263153,0.5898483395576477,0.0034224698320031166,7.758944034576416,0.08752971887588501
nearest,9,0.5251024961471558,0.0020152225624769926,18.032588958740234,0.09884051978588104,0.01573455147445202,0.0003624464734457433,0.07786431163549423,0.0009116574074141681,0.12542922794818878,0.0014359387569129467,0.12542922794818878,0.0014359387569129467,0.9084413051605225,0.003709529060870409,0.37980327010154724,0.009178454987704754,0.5239526033401489,0.004157994873821735,7.786431312561035,0.09116578847169876
