method,num_slices,ssim_mean,ssim_std,psnr_mean,psnr_std,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,nrmse_mean,nrmse_std,pearson_mean,pearson_std,gradient_mse_mean,gradient_mse_std,hfen_mean,hfen_std,diff_percent_mean,diff_percent_std
bicubic,31,0.6566614508628845,0.014089257456362247,20.144865036010742,0.3876420557498932,0.00971063319593668,0.0008696309523656964,0.06308982521295547,0.0035845148377120495,0.0984441414475441,0.004402739927172661,0.0984441414475441,0.004402739927172661,0.9442142248153687,0.012501276098191738,0.17536817491054535,0.0197227094322443,0.16258038580417633,0.008295740000903606,6.3089823722839355,0.3584514260292053
lanczos,31,0.6565448045730591,0.013429753482341766,20.193201065063477,0.38160276412963867,0.009601970203220844,0.0008465518476441503,0.06294436007738113,0.0034784104209393263,0.09789480268955231,0.004310051444917917,0.09789480268955231,0.004310051444917917,0.944907546043396,0.012252021580934525,0.16455385088920593,0.018036475405097008,0.1601954996585846,0.007178567349910736,6.294436454772949,0.3478410840034485
nearest,31,0.6406310200691223,0.011470288969576359,19.58033561706543,0.3475665748119354,0.011049828492105007,0.0008823338430374861,0.0665850043296814,0.003165452042594552,0.1050342470407486,0.0041994983330369,0.1050342470407486,0.0041994983330369,0.9359950423240662,0.013753167353570461,0.17404799163341522,0.01837126351892948,0.18766868114471436,0.008084461092948914,6.658499717712402,0.31654518842697144
bilinear,31,0.6164368391036987,0.017351849004626274,19.522640228271484,0.3931776285171509,0.01120768953114748,0.0010148881701752543,0.06851757317781448,0.0039036788512021303,0.10575795918703079,0.004789834376424551,0.10575795918703079,0.004789834376424551,0.9361491203308105,0.01436267327517271,0.25457149744033813,0.02927018515765667,0.25988447666168213,0.010192486457526684,6.851757049560547,0.39036789536476135
